Wall time,Step,Value
1640439208.9452097,1000,-0.05122260004281998
1640440098.290333,2000,-0.0507204607129097
1640440940.3447464,3000,-0.05119187384843826
1640441758.53927,4000,-0.05380120128393173
1640442552.562406,5000,-0.05377349629998207
1640443366.703541,6000,-0.052480533719062805
1640444126.254422,7000,-0.05304276943206787
1640444681.488296,8000,-0.05039108544588089
1640445455.731373,9000,-0.05242098122835159
1640446216.552084,10000,-0.051521532237529755
1640446936.433148,11000,-0.05089331418275833
1640447600.549591,12000,-0.048953671008348465
1640448233.486876,13000,-0.0497618205845356
1640448848.344528,14000,-0.053494956344366074
1640449301.461655,15000,-0.05073188245296478
1640449890.654236,16000,-0.049817610532045364
1640450439.025438,17000,-0.05079101398587227
1640450992.798883,18000,-0.0495733879506588
1640451496.95164,19000,-0.048763323575258255
1640451990.83836,20000,-0.048869986087083817
1640452449.8515193,21000,-0.04988850653171539
1640452906.755302,22000,-0.04692491888999939
1640453288.937863,23000,-0.047280337661504745
1640453729.346766,24000,-0.04831802099943161
1640454190.337808,25000,-0.04855193942785263
1640454634.287241,26000,-0.048168595880270004
1640455070.343737,27000,-0.048845671117305756
1640455515.254266,28000,-0.048400361090898514
1640455947.460417,29000,-0.04685832932591438
1640456321.893248,30000,-0.046934135258197784
1640456755.808738,31000,-0.04830760881304741
1640457221.362639,32000,-0.046848542988300323
1640457667.3887377,33000,-0.045430492609739304
1640458101.579597,34000,-0.045138224959373474
1640458533.233264,35000,-0.045005135238170624
1640458971.661959,36000,-0.044903166592121124
1640459402.877304,37000,-0.044852130115032196
1640459775.16346,38000,-0.04406716302037239
1640460206.922164,39000,-0.04369223490357399
1640460636.260513,40000,-0.04575645923614502
1640461068.897773,41000,-0.04559825733304024
1640461515.653263,42000,-0.044050853699445724
1640461957.338492,43000,-0.04461916163563728
1640462388.285975,44000,-0.04530547931790352
1640462757.6814988,45000,-0.045462992042303085
1640463189.856672,46000,-0.04603999853134155
1640463625.0040529,47000,-0.0437183603644371
1640464059.680045,48000,-0.04642154648900032
1640464490.328968,49000,-0.047416482120752335
1640464920.85335,50000,-0.045203797519207
1640465349.586488,51000,-0.04645013064146042
1640465783.122262,52000,-0.04708840698003769
1640466155.149669,53000,-0.04584135487675667
1640466584.765251,54000,-0.04321961849927902
1640467016.944543,55000,-0.04490523785352707
1640467446.744236,56000,-0.044689588248729706
1640467880.688563,57000,-0.04505640268325806
1640468308.897594,58000,-0.04540596529841423
1640468751.959286,59000,-0.04370429739356041
1640469124.17975,60000,-0.04546128585934639
1640469555.817954,61000,-0.04383694380521774
1640469993.433534,62000,-0.04443627595901489
1640470424.446125,63000,-0.04406067728996277
1640470859.642289,64000,-0.044840168207883835
1640471289.572902,65000,-0.045664094388484955
1640471716.772442,66000,-0.043606556951999664
1640472087.6643252,67000,-0.045269355177879333
1640472523.9094248,68000,-0.043879326432943344
1640472954.1492617,69000,-0.04342106729745865
1640473386.297792,70000,-0.04416980594396591
1640473817.4339757,71000,-0.04575744643807411
1640474246.614818,72000,-0.0456598699092865
1640474679.174579,73000,-0.044180192053318024
1640475117.065091,74000,-0.04479566588997841
1640475488.9144,75000,-0.04296834394335747
1640475916.739739,76000,-0.04450727254152298
1640476355.914498,77000,-0.04405926913022995
1640476786.42098,78000,-0.04379480332136154
1640477216.482522,79000,-0.04177099093794823
1640477646.15122,80000,-0.04341013729572296
1640478075.34623,81000,-0.04542931914329529
1640478447.515863,82000,-0.04325991868972778
1640478879.404825,83000,-0.043117158114910126
1640479320.987287,84000,-0.04338379204273224
1640479750.372877,85000,-0.04306866228580475
1640480190.778309,86000,-0.04326445609331131
1640480619.773056,87000,-0.04284602031111717
1640481052.827099,88000,-0.04458628594875336
1640481480.979235,89000,-0.04152235388755798
1640481854.714264,90000,-0.042711127549409866
1640482292.567603,91000,-0.04324502497911453
1640482721.0499158,92000,-0.044162567704916
1640483146.094971,93000,-0.04286054149270058
1640483575.9776623,94000,-0.04362830892205238
1640484007.879168,95000,-0.043234363198280334
1640484439.027348,96000,-0.04239168018102646
1640484808.293949,97000,-0.04228886216878891
1640485249.929684,98000,-0.04425672069191933
1640485679.883449,99000,-0.04296484962105751
1640486111.106015,100000,-0.041792839765548706
1640486541.699784,101000,-0.04068657010793686
1640486974.682856,102000,-0.04113766551017761
1640487409.23425,103000,-0.04177042841911316
1640487840.434541,104000,-0.041619326919317245
1640488209.367474,105000,-0.04007843881845474
1640488637.119509,106000,-0.03974708542227745
1640489076.384112,107000,-0.04179975017905235
