Wall time,Step,Value
1640361497.166345,1000,-0.051350757479667664
1640362348.1205518,2000,-0.050943270325660706
1640363167.9882853,3000,-0.05166052281856537
1640363960.108094,4000,-0.05395689234137535
1640364744.711949,5000,-0.05399857461452484
1640365481.622895,6000,-0.052431002259254456
1640366158.461001,7000,-0.05333390459418297
1640366638.8004417,8000,-0.05055372044444084
1640367301.519688,9000,-0.05259167030453682
1640367951.8278637,10000,-0.05159438028931618
1640368533.864322,11000,-0.05111284554004669
1640369080.908469,12000,-0.049265194684267044
1640369603.8424933,13000,-0.050439197570085526
1640370102.033374,14000,-0.05441395565867424
1640370503.9032,15000,-0.05142864212393761
1640370978.970682,16000,-0.05064582824707031
1640371436.324044,17000,-0.05163808539509773
1640371887.308186,18000,-0.05062469467520714
1640372338.029045,19000,-0.050355568528175354
1640372782.138916,20000,-0.05040820315480232
1640373223.630642,21000,-0.050973039120435715
1640373664.8056252,22000,-0.04886684939265251
1640374051.02751,23000,-0.04907944053411484
1640374488.785126,24000,-0.04924750328063965
1640374927.580381,25000,-0.04901600629091263
1640375367.354987,26000,-0.04766101762652397
1640375807.946436,27000,-0.04720974341034889
1640376247.911506,28000,-0.04722706601023674
1640376687.489715,29000,-0.045358818024396896
1640377077.78146,30000,-0.04527651518583298
1640377523.180643,31000,-0.046318523585796356
1640377980.530187,32000,-0.04497157037258148
1640378425.453832,33000,-0.042897939682006836
1640378875.083024,34000,-0.042537443339824677
1640379315.482409,35000,-0.0423555001616478
1640379760.20925,36000,-0.041691798716783524
1640380201.917184,37000,-0.041233111172914505
1640380584.806025,38000,-0.04100869596004486
1640381029.355192,39000,-0.04033145681023598
1640381478.484408,40000,-0.04204537346959114
1640381919.540517,41000,-0.0408841110765934
1640382368.429216,42000,-0.040260959416627884
1640382812.498908,43000,-0.039893072098493576
1640383262.922709,44000,-0.04068304970860481
1640383643.609101,45000,-0.041095223277807236
1640384088.397624,46000,-0.0417669415473938
1640384527.829464,47000,-0.03877205401659012
1640384968.937747,48000,-0.04070718213915825
1640385410.69022,49000,-0.0417037233710289
1640385859.509404,50000,-0.039948463439941406
1640386302.641726,51000,-0.04057179391384125
1640386745.109941,52000,-0.04091038182377815
1640387129.189217,53000,-0.03984791785478592
1640387571.465895,54000,-0.03960849344730377
1640388009.88931,55000,-0.039172571152448654
1640388454.882612,56000,-0.04000192880630493
1640388899.844415,57000,-0.03987767547369003
1640389342.469702,58000,-0.03983696177601814
1640389787.894648,59000,-0.038394298404455185
1640390171.405767,60000,-0.03887593373656273
1640390610.73321,61000,-0.0368066243827343
1640391056.704975,62000,-0.03641114383935928
1640391498.41614,63000,-0.03568534180521965
1640391938.077545,64000,-0.035557013005018234
1640392375.993067,65000,-0.035791922360658646
1640392814.863898,66000,-0.034289829432964325
1640393194.091504,67000,-0.03560563921928406
1640393638.712406,68000,-0.033627189695835114
1640394081.205107,69000,-0.03372916206717491
1640394523.581637,70000,-0.032947417348623276
1640394967.572357,71000,-0.03328804299235344
1640395405.499386,72000,-0.03330881521105766
1640395850.092456,73000,-0.033506691455841064
1640396290.353353,74000,-0.033394549041986465
1640396673.419307,75000,-0.031856801360845566
1640397114.098609,76000,-0.03215136379003525
1640397554.474724,77000,-0.03303546458482742
1640397996.157765,78000,-0.03348372504115105
1640398439.730064,79000,-0.03293493762612343
1640398877.564932,80000,-0.03307380899786949
1640399317.097692,81000,-0.034795939922332764
1640399698.772079,82000,-0.03406330198049545
1640400137.987646,83000,-0.03340470790863037
1640400575.041725,84000,-0.03448139876127243
1640401013.22929,85000,-0.034427497535943985
1640401451.85354,86000,-0.03448627144098282
1640401893.195456,87000,-0.034758247435092926
1640402331.210343,88000,-0.03572080656886101
1640402772.828655,89000,-0.0341738685965538
1640403153.075532,90000,-0.03515186160802841
1640403593.574768,91000,-0.035547032952308655
1640404040.518318,92000,-0.035943515598773956
1640404485.567123,93000,-0.03557450324296951
1640404935.4991198,94000,-0.03540584072470665
1640405379.201958,95000,-0.036024149507284164
1640405821.323692,96000,-0.03453630208969116
1640406204.989246,97000,-0.03419169783592224
1640406650.985759,98000,-0.03552236780524254
1640407094.612343,99000,-0.033899951726198196
1640407534.814516,100000,-0.033021412789821625
1640407979.310765,101000,-0.03177955001592636
1640408432.179937,102000,-0.03170541673898697
1640408873.207036,103000,-0.031397417187690735
1640409318.75803,104000,-0.03141851723194122
1640409702.791743,105000,-0.030920634046196938
1640410149.034779,106000,-0.03050992451608181
1640410601.846973,107000,-0.031933702528476715
