Wall time,Step,Value
1640974550.18385,1000,-0.05264873430132866
1640975363.230649,2000,-0.05165503919124603
1640976130.694609,3000,-0.05262795835733414
1640976848.351805,4000,-0.05319536104798317
1640977520.569197,5000,-0.049916140735149384
1640978128.62783,6000,-0.052354924380779266
1640978696.621933,7000,-0.05045788735151291
1640979135.116041,8000,-0.05233553797006607
1640979675.7959743,9000,-0.050013259053230286
1640980182.477171,10000,-0.0505087748169899
1640980682.462303,11000,-0.04995886608958244
1640981145.158278,12000,-0.04837717115879059
1640981600.408095,13000,-0.04379206523299217
1640982053.157171,14000,-0.04718976840376854
1640982441.44899,15000,-0.04721168428659439
1640982887.541154,16000,-0.04489932954311371
1640983333.568617,17000,-0.04643736779689789
1640983780.458108,18000,-0.04526958242058754
1640984229.0393453,19000,-0.04685163497924805
1640984675.480873,20000,-0.04564620926976204
1640985122.025285,21000,-0.045667245984077454
1640985576.994005,22000,-0.044396884739398956
1640985966.862984,23000,-0.04401615634560585
1640986416.756933,24000,-0.045026786625385284
1640986867.932002,25000,-0.04177679121494293
1640987316.864234,26000,-0.04341702535748482
1640987762.645874,27000,-0.04249156266450882
1640988212.947396,28000,-0.04155702516436577
1640988660.75466,29000,-0.04253091663122177
1640989048.395248,30000,-0.041310396045446396
1640989491.201462,31000,-0.04188808426260948
1640989938.143783,32000,-0.04127296060323715
1640990411.819302,33000,-0.03889279440045357
1640990877.858196,34000,-0.04044552147388458
1640991329.760965,35000,-0.038363438099622726
1640991776.804464,36000,-0.040172457695007324
1640992250.362329,37000,-0.03923287242650986
1640992637.6698103,38000,-0.03930480033159256
1640993088.988297,39000,-0.03922080248594284
1640993545.70978,40000,-0.04057973623275757
1640993993.75261,41000,-0.03905589133501053
1640994445.256368,42000,-0.039289575070142746
1640994893.011429,43000,-0.040184445679187775
1640995341.455824,44000,-0.03883492946624756
1640995731.818352,45000,-0.03959832340478897
1640996180.182741,46000,-0.03976583480834961
1640996641.601062,47000,-0.03902028873562813
1640997091.135537,48000,-0.03901137784123421
1640997543.296778,49000,-0.03853217884898186
1640998009.504364,50000,-0.03951301425695419
1640998460.201531,51000,-0.04025692865252495
1640998912.132298,52000,-0.03871045634150505
1640999304.952879,53000,-0.040110789239406586
1640999756.077996,54000,-0.03997877985239029
1641000204.097126,55000,-0.03930623084306717
1641000653.345397,56000,-0.040035657584667206
1641001101.509378,57000,-0.039409033954143524
1641001552.128732,58000,-0.04008971154689789
1641001999.099752,59000,-0.039052970707416534
1641002387.550637,60000,-0.0406695120036602
1641002832.324175,61000,-0.0372227244079113
1641003282.5787892,62000,-0.039486996829509735
1641003728.003077,63000,-0.0382663793861866
1641004176.082525,64000,-0.03926532343029976
1641004632.703178,65000,-0.03940858691930771
1641005084.563695,66000,-0.040522217750549316
1641005477.932435,67000,-0.039486322551965714
1641005930.224762,68000,-0.03950405493378639
1641006379.398153,69000,-0.03902339190244675
1641006830.58859,70000,-0.04014679789543152
1641007280.217693,71000,-0.040699973702430725
1641007731.968659,72000,-0.039059508591890335
1641008181.082099,73000,-0.04040926694869995
1641008635.647178,74000,-0.03928820416331291
1641009027.276684,75000,-0.04056624323129654
1641009476.391068,76000,-0.03966909274458885
1641009926.69858,77000,-0.040129680186510086
1641010374.004402,78000,-0.04017772525548935
1641010822.014003,79000,-0.0397336408495903
1641011264.399964,80000,-0.03638998791575432
1641011706.054507,81000,-0.03963571786880493
1641012095.243125,82000,-0.03987317159771919
1641012540.296116,83000,-0.03818347305059433
1641012988.187051,84000,-0.03944079577922821
1641013438.995798,85000,-0.039088841527700424
1641013893.250923,86000,-0.04032856971025467
1641014341.69185,87000,-0.03961396962404251
1641014794.338894,88000,-0.04009861871600151
1641015241.156265,89000,-0.04013404622673988
1641015633.331833,90000,-0.039743613451719284
1641016083.938616,91000,-0.04074865207076073
1641016534.630627,92000,-0.038073547184467316
1641016983.094475,93000,-0.03982164338231087
1641017436.35126,94000,-0.04022587835788727
1641017886.144725,95000,-0.03914891555905342
1641018335.362858,96000,-0.040717583149671555
1641018726.001039,97000,-0.03969694674015045
1641019172.5488327,98000,-0.04053719341754913
1641019618.99315,99000,-0.040208108723163605
1641020065.149705,100000,-0.03817504644393921
1641020515.181517,101000,-0.03927909582853317
1641020967.565287,102000,-0.037211548537015915
1641021415.778201,103000,-0.03892788663506508
1641021864.412933,104000,-0.03850254788994789
1641022252.64261,105000,-0.038707297295331955
1641022695.969757,106000,-0.03817686811089516
1641023142.27634,107000,-0.039636969566345215
