Wall time,Step,Value
1640620745.369819,1000,-0.052419137209653854
1640621661.351371,2000,-0.051816489547491074
1640622447.6155,3000,-0.05284520611166954
1640623202.055005,4000,-0.05293683707714081
1640623891.587872,5000,-0.05007191374897957
1640624550.050078,6000,-0.05239233002066612
1640625129.813986,7000,-0.05015603452920914
1640625568.851605,8000,-0.052228204905986786
1640626087.445554,9000,-0.05014364421367645
1640626582.347816,10000,-0.05089782550930977
1640627059.835381,11000,-0.050459690392017365
1640627528.149156,12000,-0.04960593953728676
1640627981.243748,13000,-0.04477301985025406
1640628436.2332668,14000,-0.04782234877347946
1640628825.325933,15000,-0.0479254424571991
1640629274.258855,16000,-0.04615015909075737
1640629723.721055,17000,-0.04648277163505554
1640630169.360115,18000,-0.04606013372540474
1640630618.647728,19000,-0.04760308936238289
1640631062.056848,20000,-0.046012554317712784
1640631515.390894,21000,-0.04561211168766022
1640631963.862338,22000,-0.04535927623510361
1640632351.928658,23000,-0.044477127492427826
1640632799.878444,24000,-0.045693349093198776
1640633248.661087,25000,-0.04206543043255806
1640633698.550762,26000,-0.04295991733670235
1640634146.919568,27000,-0.043138597160577774
1640634593.417194,28000,-0.0417790412902832
1640635040.530597,29000,-0.04252127185463905
1640635424.439809,30000,-0.04124153032898903
1640635870.828045,31000,-0.041999701410532
1640636315.887006,32000,-0.041508812457323074
1640636776.536339,33000,-0.03946077823638916
1640637221.781689,34000,-0.0404638946056366
1640637670.952757,35000,-0.038724564015865326
1640638123.873988,36000,-0.04054012522101402
1640638566.243432,37000,-0.03974805027246475
1640638953.843519,38000,-0.03971016779541969
1640639397.071032,39000,-0.03926576301455498
1640639848.927225,40000,-0.0406988151371479
1640640294.458038,41000,-0.0394459143280983
1640640746.281549,42000,-0.03971586003899574
1640641191.462754,43000,-0.04045650735497475
1640641646.404,44000,-0.03868740051984787
1640642034.0634828,45000,-0.039764873683452606
1640642483.311572,46000,-0.04003477096557617
1640642928.053676,47000,-0.03947722911834717
1640643371.336437,48000,-0.038552701473236084
1640643815.101515,49000,-0.03862697631120682
1640644262.914846,50000,-0.04002268612384796
1640644706.991955,51000,-0.040337562561035156
1640645154.494471,52000,-0.03926866501569748
1640645548.233992,53000,-0.04019501060247421
1640645993.614796,54000,-0.039990950375795364
1640646440.2132,55000,-0.03930202126502991
1640646889.947933,56000,-0.04003223404288292
1640647337.076844,57000,-0.03949212282896042
1640647781.087356,58000,-0.04123177006840706
1640648227.646914,59000,-0.03932240232825279
1640648613.503775,60000,-0.04102315753698349
1640649058.874367,61000,-0.03720604628324509
1640649506.861619,62000,-0.03925978019833565
1640649950.0981047,63000,-0.03828321769833565
1640650395.604832,64000,-0.03954983130097389
1640650841.346517,65000,-0.0396101213991642
1640651292.862566,66000,-0.04079640284180641
1640651678.484059,67000,-0.03963109105825424
1640652122.521634,68000,-0.03976163640618324
1640652566.796869,69000,-0.03931067883968353
1640653012.002492,70000,-0.03983566537499428
1640653456.382776,71000,-0.04041089862585068
1640653909.118781,72000,-0.03883076086640358
1640654354.366085,73000,-0.04042425379157066
1640654799.276108,74000,-0.039624445140361786
1640655183.185326,75000,-0.04107098653912544
1640655628.316909,76000,-0.03992203250527382
1640656074.965626,77000,-0.040864039212465286
1640656517.769478,78000,-0.04060359299182892
1640656965.99816,79000,-0.04009213671088219
1640657409.323481,80000,-0.03672624006867409
1640657854.958678,81000,-0.04010811075568199
1640658242.290624,82000,-0.04026560112833977
1640658686.347424,83000,-0.038683462888002396
1640659131.000174,84000,-0.04031587392091751
1640659578.515232,85000,-0.03986642137169838
1640660022.165681,86000,-0.041811808943748474
1640660466.901286,87000,-0.040987465530633926
1640660910.968468,88000,-0.04158921167254448
1640661355.749162,89000,-0.04196061193943024
1640661740.416501,90000,-0.04091646894812584
1640662186.316429,91000,-0.042851321399211884
1640662631.010049,92000,-0.03940538316965103
1640663072.385497,93000,-0.041269462555646896
1640663524.187406,94000,-0.042548101395368576
1640663975.814477,95000,-0.041237641125917435
1640664419.29498,96000,-0.042664527893066406
1640664804.9181697,97000,-0.04150870814919472
1640665256.657134,98000,-0.04232035204768181
1640665702.054777,99000,-0.04231245815753937
1640666153.247717,100000,-0.040283072739839554
1640666599.965486,101000,-0.04169730469584465
1640667044.6349068,102000,-0.0398230105638504
1640667490.474419,103000,-0.04135788232088089
1640667941.829728,104000,-0.0406436063349247
1640668326.853509,105000,-0.040134888142347336
1640668773.376725,106000,-0.04013914614915848
1640669226.066412,107000,-0.04184691980481148
