Wall time,Step,Value
1640270680.860875,1000,-0.05113926902413368
1640271578.3257,2000,-0.050757553428411484
1640272445.172535,3000,-0.05109599977731705
1640273344.87199,4000,-0.05366947129368782
1640274196.132934,5000,-0.05394812300801277
1640274995.971204,6000,-0.05270788073539734
1640275798.650344,7000,-0.05361085385084152
1640276343.087393,8000,-0.05045945197343826
1640277097.294808,9000,-0.052337534725666046
1640277824.293156,10000,-0.05174320191144943
1640278561.668035,11000,-0.051228512078523636
1640279241.337329,12000,-0.04931814223527908
1640279869.6538339,13000,-0.050406891852617264
1640280464.567441,14000,-0.05427083745598793
1640280927.3987813,15000,-0.05148928612470627
1640281511.653852,16000,-0.0510287843644619
1640282048.499326,17000,-0.052109621465206146
1640282559.040874,18000,-0.05126502364873886
1640283058.667993,19000,-0.05059932917356491
1640283538.031033,20000,-0.050745848566293716
1640284002.419435,21000,-0.05270261690020561
1640284457.968317,22000,-0.04875378683209419
1640284840.336075,23000,-0.05008479952812195
1640285281.108676,24000,-0.05004100501537323
1640285718.759645,25000,-0.0503971092402935
1640286155.474016,26000,-0.049560025334358215
1640286612.327945,27000,-0.04920544475317001
1640287073.121098,28000,-0.04910510405898094
1640287517.193796,29000,-0.047161560505628586
1640287902.98314,30000,-0.04722689464688301
1640288347.56926,31000,-0.047898903489112854
1640288796.065912,32000,-0.046115942299366
1640289236.471445,33000,-0.044683702290058136
1640289679.212123,34000,-0.044030044227838516
1640290117.976776,35000,-0.043396711349487305
1640290560.142043,36000,-0.04247315227985382
1640290998.5659058,37000,-0.042153358459472656
1640291379.303232,38000,-0.04147863760590553
1640291829.898553,39000,-0.04096721485257149
1640292272.789327,40000,-0.042259469628334045
1640292717.530656,41000,-0.04153967276215553
1640293154.612416,42000,-0.040644221007823944
1640293593.793041,43000,-0.04041296988725662
1640294031.20818,44000,-0.041030313819646835
1640294410.587056,45000,-0.041259802877902985
1640294845.71573,46000,-0.04199223592877388
1640295283.93209,47000,-0.03885241970419884
1640295730.5288923,48000,-0.04109889268875122
1640296180.455029,49000,-0.04167672246694565
1640296623.670798,50000,-0.03998927026987076
1640297067.750723,51000,-0.0406559556722641
1640297508.82172,52000,-0.04100959748029709
1640297889.072491,53000,-0.03981611132621765
1640298328.290255,54000,-0.03940422460436821
1640298771.124976,55000,-0.039237912744283676
1640299210.577441,56000,-0.03979869186878204
1640299651.163516,57000,-0.040249742567539215
1640300091.015289,58000,-0.03975866362452507
1640300528.53985,59000,-0.038948312401771545
1640300908.025098,60000,-0.03969719260931015
1640301347.246747,61000,-0.03927512466907501
1640301785.040394,62000,-0.03890199586749077
1640302223.831743,63000,-0.03913010656833649
1640302660.983581,64000,-0.03938973322510719
1640303100.524573,65000,-0.04005914926528931
1640303542.197037,66000,-0.038826458156108856
1640303920.391679,67000,-0.039984021335840225
1640304363.822979,68000,-0.03873952478170395
1640304804.258723,69000,-0.03799593448638916
1640305249.09428,70000,-0.03880695626139641
1640305690.753463,71000,-0.039947252720594406
1640306129.4125183,72000,-0.03969971090555191
1640306574.893916,73000,-0.038917601108551025
1640307018.763971,74000,-0.03963344544172287
1640307396.751198,75000,-0.038058552891016006
1640307840.22755,76000,-0.03894926607608795
1640308281.209714,77000,-0.03871893882751465
1640308728.412859,78000,-0.03836440294981003
1640309178.19586,79000,-0.03747379034757614
1640309616.788057,80000,-0.038009870797395706
1640310055.809469,81000,-0.040169231593608856
1640310436.248512,82000,-0.03862614184617996
1640310881.141054,83000,-0.03835636377334595
1640311323.773041,84000,-0.03919686749577522
1640311775.775213,85000,-0.03803473338484764
1640312218.914236,86000,-0.037737730890512466
1640312670.263059,87000,-0.03834942355751991
1640313122.330381,88000,-0.03939545154571533
1640313569.830004,89000,-0.03754808008670807
1640313950.4092999,90000,-0.03821944072842598
1640314400.66898,91000,-0.03847162425518036
1640314841.956645,92000,-0.03889913111925125
1640315283.211188,93000,-0.03897108882665634
1640315727.877289,94000,-0.0390038900077343
1640316193.500662,95000,-0.039155054837465286
1640316632.930768,96000,-0.03801349177956581
1640317014.99147,97000,-0.03828156366944313
1640317454.421747,98000,-0.04004572704434395
1640317895.666764,99000,-0.03882789611816406
1640318349.1891,100000,-0.03795061632990837
1640318792.271393,101000,-0.03764212131500244
1640319230.7453,102000,-0.03770013898611069
1640319680.700679,103000,-0.03756018728017807
1640320125.9464,104000,-0.036895666271448135
1640320506.690872,105000,-0.036962952464818954
1640320948.380502,106000,-0.03639041259884834
1640321390.330819,107000,-0.038263045251369476
